,YearStart,LocationAbbr,LocationDesc,Class,Topic,Question,Data_Value,Data_Value_Alt,Age(months),Sex,Race/Ethnicity
28,2018,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.9,13.9,,,Non-Hispanic Black
29,2018,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.6,14.6,,Male,
30,2018,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.1,11.1,,Female,
31,2018,IA,Iowa,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,17,17,48 - 59,,
32,2018,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,16.7,16.7,,,Hispanic
33,2018,PR,Puerto Rico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,,,,,Non-Hispanic Black
34,2018,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.2,11.2,,,Non-Hispanic Black
35,2018,WV,West Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,18.2,18.2,48 - 59,,
36,2018,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.5,13.5,,,American Indian/Alaska Native
37,2018,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,6,6,6 - 11,,
38,2018,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,20.3,20.3,,,American Indian/Alaska Native
39,2018,WY,Wyoming,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.6,13.6,,,Non-Hispanic White
40,2018,HI,Hawaii,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,12.5,12.5,24 - 35,,
41,2018,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.6,14.6,24 - 35,,
42,2018,SC,South Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,12.4,12.4,18 - 23,,
43,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,10,10,,,Non-Hispanic White
44,2018,GU,Guam,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.2,14.2,,,Asian/Pacific Islander
45,2018,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,16.4,16.4,18 - 23,,
46,2018,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.6,14.6,48 - 59,,
47,2018,FL,Florida,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13,13,,Female,
48,2018,NE,Nebraska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,10.4,10.4,,,Non-Hispanic White
49,2018,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.8,14.8,,,Non-Hispanic Black
50,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,17.4,17.4,48 - 59,,
51,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,16.7,16.7,,,Non-Hispanic White
52,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,8.3,8.3,3 - 5,,
53,2018,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,17.4,17.4,48 - 59,,
54,2018,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13.6,13.6,,,
55,2018,RI,Rhode Island,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,17.2,17.2,,,Hispanic
56,2018,OK,Oklahoma,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15,15,,Female,
57,2018,ND,North Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,15.9,15.9,,,Hispanic
58,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.1,16.1,,,
59,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,16.6,16.6,,,Hispanic
60,2018,WY,Wyoming,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,10.6,10.6,,,
61,2018,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.5,11.5,,Male,
62,2018,VI,Virgin Islands,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,17.1,17.1,36 - 47,,
63,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,11.8,11.8,24 - 35,,
64,2018,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18.6,18.6,,,American Indian/Alaska Native
65,2018,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,10.1,10.1,,,Non-Hispanic White
66,2018,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,18.8,18.8,,,American Indian/Alaska Native
67,2018,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.5,11.5,12 - 17,,
68,2018,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.3,16.3,,,American Indian/Alaska Native
69,2018,OH,Ohio,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,11.9,11.9,,,Asian/Pacific Islander
70,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,8.2,8.2,,,Non-Hispanic White
71,2018,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15,15,,,Non-Hispanic White
72,2018,AZ,Arizona,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,9.6,9.6,3 - 5,,
73,2018,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,10.3,10.3,,,Asian/Pacific Islander
74,2018,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.1,11.1,,,Non-Hispanic White
75,2018,OK,Oklahoma,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.3,13.3,,,Non-Hispanic Black
76,2018,PR,Puerto Rico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,,,,,Asian/Pacific Islander
77,2018,NH,New Hampshire,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18.6,18.6,,Male,
78,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,,,,American Indian/Alaska Native
79,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13,13,,,Non-Hispanic White
80,2018,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,19.5,19.5,48 - 59,,
81,2018,NH,New Hampshire,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.7,11.7,,Female,
82,2018,ND,North Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.9,16.9,,,
83,2018,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.7,14.7,,Male,
84,2018,VI,Virgin Islands,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,15.1,15.1,,,
85,2018,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.6,11.6,18 - 23,,
86,2018,NE,Nebraska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,14.3,14.3,12 - 17,,
87,2018,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.4,13.4,,,Non-Hispanic Black
88,2018,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13.4,13.4,36 - 47,,
89,2018,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,10.5,10.5,24 - 35,,
90,2018,VI,Virgin Islands,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,16.8,16.8,,,Hispanic
91,2018,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,20.5,20.5,,,Hispanic
92,2018,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.9,15.9,,,Hispanic
93,2018,WI,Wisconsin,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13.7,13.7,,Female,
94,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,12.2,12.2,24 - 35,,
95,2018,OH,Ohio,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13.8,13.8,12 - 17,,
96,2018,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,18.2,18.2,,,American Indian/Alaska Native
97,2018,LA,Louisiana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.1,14.1,,Female,
98,2018,ME,Maine,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,12.1,12.1,,,Non-Hispanic Black
99,2018,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,10.3,10.3,48 - 59,,
100,2018,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,6.3,6.3,,,
101,2018,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13,13,,,Hispanic
102,2018,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.1,16.1,24 - 35,,
103,2018,UT,Utah,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,17.8,17.8,,,American Indian/Alaska Native
104,2018,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11,11,,,Non-Hispanic Black
105,2018,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11,11,,Male,
106,2018,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,15.5,15.5,6 - 11,,
107,2018,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,6.1,6.1,,,Non-Hispanic White
108,2018,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.4,15.4,,,Non-Hispanic White
109,2018,AL,Alabama,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13,13,,,Non-Hispanic Black
110,2018,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,11.9,11.9,,,
111,2018,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.1,16.1,48 - 59,,
112,2018,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18,18,,,
113,2018,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,7.6,7.6,,,American Indian/Alaska Native
114,2018,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,17.5,17.5,,,Hispanic
115,2018,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,15.2,15.2,24 - 35,,
116,2018,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,10.5,10.5,,,Non-Hispanic Black
117,2018,MS,Mississippi,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,14.4,14.4,,,Non-Hispanic Black
118,2018,MO,Missouri,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,12.7,12.7,18 - 23,,
119,2018,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.7,14.7,,,
120,2018,CA,California,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,15.2,15.2,,Female,
121,2018,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,7.9,7.9,3 - 5,,
122,2018,SD,South Dakota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,8.2,8.2,,,Asian/Pacific Islander
123,2018,GU,Guam,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,6.9,6.9,24 - 35,,
124,2018,ID,Idaho,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,12.7,12.7,,,Asian/Pacific Islander
125,2018,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.3,16.3,24 - 35,,
126,2018,PR,Puerto Rico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,,,,,Non-Hispanic Black
127,2018,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,11.5,11.5,36 - 47,,
128,2018,NJ,New Jersey,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13.2,13.2,24 - 35,,
129,2018,GA,Georgia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,10.3,10.3,,,
130,2018,MT,Montana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,7,7,,,Asian/Pacific Islander
131,2018,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,14.7,14.7,,,Non-Hispanic Black
132,2018,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,22.7,22.7,,,Hispanic
133,2018,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,17.4,17.4,36 - 47,,
134,2018,MD,Maryland,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,14.3,14.3,,,Non-Hispanic White
135,2018,DC,District of Columbia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,19.6,19.6,,,Hispanic
136,2018,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.3,11.3,,,Hispanic
137,2018,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.7,11.7,,,Non-Hispanic Black
138,2018,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,15.1,15.1,,Male,
139,2018,KS,Kansas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,9.9,9.9,,,Asian/Pacific Islander
140,2018,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.6,15.6,,,Non-Hispanic White
141,2018,OR,Oregon,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,12.3,12.3,,,Non-Hispanic White
142,2018,DE,Delaware,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,16.7,16.7,,Male,
143,2018,NJ,New Jersey,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,10.5,10.5,,,Non-Hispanic White
144,2018,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13.9,13.9,,,Hispanic
145,2018,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13.4,13.4,,Male,
146,2018,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,9.1,9.1,,,Asian/Pacific Islander
147,2018,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,12.6,12.6,,,Hispanic
148,2018,OR,Oregon,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18.1,18.1,,,Hispanic
149,2018,VT,Vermont,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18.4,18.4,,Female,
150,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.3,15.3,,Female,
151,2018,NY,New York,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,14,14,,,
152,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,11.2,11.2,,,Asian/Pacific Islander
153,2018,WI,Wisconsin,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,13.8,13.8,,,Non-Hispanic Black
154,2018,AK,Alaska,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,18.1,18.1,36 - 47,,
155,2018,IN,Indiana,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,13.1,13.1,,Female,
156,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,16.3,16.3,,,
157,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,17.1,17.1,,,
158,2018,PA,Pennsylvania,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,12.4,12.4,,,Non-Hispanic White
159,2018,MI,Michigan,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,14.1,14.1,,Male,
160,2018,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.7,15.7,,Female,
161,2018,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.1,15.1,36 - 47,,
162,2018,IL,Illinois,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,8.3,8.3,,,Asian/Pacific Islander
163,2018,TX,Texas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.6,15.6,24 - 35,,
164,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.1,15.1,,,Non-Hispanic Black
165,2018,TN,Tennessee,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13,13,12 - 17,,
166,2018,NM,New Mexico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,8.5,8.5,,,Non-Hispanic White
167,2018,NV,Nevada,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,12.6,12.6,,Male,
168,2018,VA,Virginia,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,13.9,13.9,,Female,
169,2018,NC,North Carolina,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,15.7,15.7,36 - 47,,
170,2018,WA,Washington,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,16.3,16.3,,,Non-Hispanic White
171,2018,PR,Puerto Rico,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,11,11,24 - 35,,
172,2018,KY,Kentucky,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have obesity,15,15,24 - 35,,
173,2018,MA,Massachusetts,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15.3,15.3,,,
174,2018,CT,Connecticut,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,15,15,36 - 47,,
175,2018,AR,Arkansas,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,4.3,4.3,3 - 5,,
176,2018,MN,Minnesota,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 2 to 4 years who have an overweight classification,20.4,20.4,,,American Indian/Alaska Native
177,2018,CO,Colorado,Obesity / Weight Status,Obesity / Weight Status,Percent of WIC children aged 3-23 months old who have a high weight-for-length,7.2,7.2,,,Non-Hispanic Black
